timestamp,type,ip_or_domain,details
2025-11-02T21:33:50.176281+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;66:77:88:99:aa:bb;11:22:33:44:55:66;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:53.789033+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:54.790442+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:55.791504+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:56.791949+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:57.793369+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:33:59.104554+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:00.106308+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:01.106784+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:02.107570+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
